gene_name	class
Actin binding protein	abp
A-X actin	actin
ACT	actin
ACT domain-containing protein	actin
ACT protein	actin
ACT-3	actin
ACT-like protein	actin
ACT1	actin
ACT1 protein	actin
ACT10 protein	actin
Act1p	actin
ACT2	actin
ACT2 protein	actin
Act2 protein	actin
Act22 protein	actin
Act3 protein	actin
ACT3 protein	actin
ACT4 protein	actin
ACT5	actin
ACT5 protein	actin
ACTA protein	actin
ActA, actin	actin
Acta1	actin
ACTA1 protein	actin
ACTA2 protein	actin
ActA3a protein	actin
ACTB	actin
ACTB isoform 10	actin
ACTB isoform 13	actin
ACTB protein	actin
ACTB_G1	actin
ACTC protein	actin
ACTC1	actin
ACTF	actin
ACTG protein	actin
ACTG1	actin
ACTG1 (Actin, cytoplasmic 2)	actin
ACTG1 isoform 11	actin
ACTG1 protein	actin
Actg1 protein	actin
ACTG2	actin
ACTG2 isoform 4	actin
ACTG2 isoform 6	actin
Actg2 protein	actin
ACTH protein	actin
ACTI protein	actin
Actin	actin
ACTIN	actin
Actin (Actin beta/gamma 1)	actin
Actin (Actin beta/gamma 1) (Actin-3)	actin
Actin (Actin type 6)	actin
Actin (Actin-2)	actin
Actin (Actin-4) (Actin-like protein 5)	actin
Actin (Actin-related protein ARP3 class) (Bin3 family protein)	actin
Actin (Actin, cytoplasmic)	actin
Actin (Actin, putative)	actin
Actin (Beta-actin)	actin
Actin (Centractin)	actin
Actin (EC 2.7.7.6)	actin
Actin (EC 3.6.4.-)	actin
Actin (Hypothetical protein)	actin
Actin (IDA5 protein)	actin
Actin (NuA4 histone acetyltransferase subunit)	actin
Actin [Encephalitozoon cuniculi GB-M1]	actin
Actin 1	actin
Actin 1 (Actin 1 variant 1) (Actin 1 variant 2)	actin
Actin 1-7	actin
Actin 1-9	actin
Actin 11	actin
Actin 11-like protein	actin
Actin 1157	actin
Actin 1D	actin
Actin 2	actin
Actin 2 (Actin protein coding 12)	actin
Actin 2 protein	actin
Actin 2 protein putative	actin
Actin 2, putative	actin
Actin 3	actin
Actin 3 isoform 3	actin
Actin 4	actin
Actin 4-2	actin
Actin 5	actin
Actin 5-like protein	actin
Actin 58	actin
Actin 5C	actin
Actin 5c	actin
Actin 5C (Actin-2) (SJCHGC06318 protein)	actin
Actin 5C/42A	actin
Actin 6	actin
Actin 6a	actin
Actin 6A	actin
Actin 6B	actin
Actin 7	actin
Actin 7 isoform 1	actin
Actin 7 isoform 1 (DEAD/DEAH box RNA helicase family protein isoform 1)	actin
Actin 7 isoform 2	actin
Actin 7-like protein	actin
Actin 79B	actin
Actin 7b	actin
Actin 8	actin
Actin 9	actin
Actin 97	actin
Actin A	actin
Actin a	actin
Actin A1	actin
Actin A1a	actin
Actin A1b	actin
Actin A1c	actin
Actin A2	actin
Actin A3	actin
Actin Act1	actin
Actin actin-like protein	actin
Actin alpha	actin
Actin alpha 1	actin
Actin alpha 1 skeletal muscle protein	actin
Actin alpha 1, skeletal muscle	actin
Actin alpha 1b	actin
Actin alpha 2	actin
Actin alpha 2, smooth muscle	actin
Actin alpha anomalous	actin
Actin alpha cardiac	actin
Actin alpha cardiac isoform 3	actin
Actin alpha cardiac muscle 1	actin
Actin alpha cardiac muscle 1 proprotein	actin
Actin alpha cardiac muscle 1c	actin
Actin alpha skeletal muscle	actin
Actin alpha skeletal muscle protein	actin
Actin b	actin
Actin B, putative	actin
Actin beta	actin
Actin beta 1	actin
Actin beta gamma 1	actin
Actin beta like 2	actin
Actin beta subunit	actin
Actin beta/gamma 1	actin
Actin beta/gamma 1 (Actin-2)	actin
Actin centractin	actin
Actin CyI	actin
Actin cytoplasmic 1	actin
Actin cytoplasmic 1 isoform 2	actin
Actin cytoplasmic 1 isoform 3	actin
Actin cytoplasmic 2	actin
Actin cytoplasmic A3	actin
Actin cytoplasmic type 5	actin
Actin cytoskeletal	actin
Actin D1	actin
Actin E	actin
Actin E2	actin
Actin gamma	actin
Actin gamma 1	actin
Actin gamma 2, smooth muscle	actin
Actin gamma protein	actin
Actin homolog	actin
Actin homologue	actin
Actin I	actin
Actin i	actin
Actin I (Macronuclear actin I)	actin
Actin I, putative (Actin II, putative)	actin
Actin II	actin
Actin ii (Centractin-like protein)	actin
Actin II (Centractin-like protein), putative	actin
Actin II, putative	actin
Actin II, putative (Actin-2)	actin
Actin isoform 1	actin
Actin isoform 2	actin
Actin isoform A	actin
Actin isoform C	actin
Actin isoform X1	actin
Actin isoform X2	actin
Actin isoform zwei	actin
Actin PACT	actin
Actin plasmodial isoform	actin
Actin protein	actin
Actin protein 3	actin
Actin protein 3B	actin
Actin protein 4, isoform b	actin
Actin protein 6	actin
Actin protein 6A like	actin
Actin protein 6B	actin
Actin protein Arp4p	actin
Actin protein Arp6	actin
Actin protein arp6	actin
Actin protein, putative	actin
Actin putative	actin
Actin T2	actin
Actin type 1	actin
Actin type 2	actin
Actin type I	actin
Actin type II	actin
Actin V1	actin
Actin variant 1	actin
Actin variant 2	actin
Actin_ alpha skeletal muscle	actin
Actin_ muscle	actin
Actin- protein 3-A (Actin-related protein 3)	actin
Actin-/Arp1-/Arp2-/Arp3-related protein	actin
Actin-1	actin
Actin-1 (EC 3.6.4.-)	actin
Actin-1 (EC 3.6.4.-) (Actin I)	actin
Actin-1, putative, expressed	actin
Actin-1/2	actin
Actin-1/4 (EC 3.6.4.-)	actin
Actin-10	actin
Actin-101	actin
Actin-104	actin
Actin-11	actin
Actin-11 isoform 2	actin
Actin-11 isoform A	actin
Actin-11 isoform C (Actin-11 isoform E) (Actin-11 isoform F) (Actin-97)	actin
Actin-11 isoform X2	actin
Actin-18 (EC 3.6.4.-) (Actin-3-sub 2)	actin
Actin-2	actin
Actin-2 (CYFA0S01e13366g1_1)	actin
Actin-2 (EC 3.6.4.-)	actin
Actin-2 (inferred by orthology to a C. elegans protein)	actin
Actin-2, variant 2	actin
Actin-3	actin
Actin-3 (EC 3.6.4.-)	actin
Actin-3 (EC 3.6.4.-) (Actin-3-sub 1)	actin
Actin-3 isoform A (Actin-3 isoform D)	actin
Actin-3 isoform C	actin
Actin-3, muscle-specific	actin
Actin-4	actin
Actin-4 (EC 3.6.4.-)	actin
Actin-41	actin
Actin-42A	actin
Actin-42A (EC 3.6.4.-)	actin
Actin-5	actin
Actin-5 actin	actin
Actin-51	actin
Actin-54	actin
Actin-58	actin
Actin-5C	actin
Actin-5C (EC 3.6.4.-)	actin
Actin-6	actin
Actin-66	actin
Actin-7	actin
Actin-7 (EC 3.6.4.-)	actin
Actin-7 isoform B	actin
Actin-7 isoform C	actin
Actin-7 isoform E	actin
Actin-7, putative, expressed	actin
Actin-71	actin
Actin-75	actin
Actin-8 (EC 3.6.4.-)	actin
Actin-85c	actin
Actin-85C	actin
Actin-87e	actin
Actin-87E (EC 3.6.4.-)	actin
Actin-97	actin
Actin-A3b, cytoplasmic	actin
Actin-isoform 1	actin
Actin-muscle-specific	actin
Actin-protein	actin
Actin-protein 6	actin
Actin, acrosomal process isoform	actin
Actin, adductor muscle	actin
Actin, alpha 1, skeletal muscle	actin
Actin, alpha 2	actin
Actin, alpha 2, smooth muscle, aorta	actin
Actin, alpha anomalous	actin
Actin, alpha cardiac	actin
Actin, alpha cardiac muscle 1	actin
Actin, alpha cardiac muscle 1 (EC 3.6.4.-) (Alpha-cardiac actin) [Cleaved into: Actin, alpha cardiac muscle 1, intermediate form]	actin
Actin, alpha cardiac muscle 1 Alpha-cardiac actin	actin
Actin, alpha cardiac muscle 1 isoform 1	actin
Actin, alpha cardiac muscle 1 isoform B	actin
Actin, alpha cardiac muscle 1-like	actin
Actin, alpha cardiac muscle 2 (EC 3.6.4.-) (Actin alpha 2) (alpha2T)	actin
Actin, alpha sarcomeric/cardiac	actin
Actin, alpha skeletal muscle	actin
Actin, alpha skeletal muscle (Cytoplasmatic actin)	actin
Actin, alpha skeletal muscle (EC 3.6.4.-) (Alpha-actin-1) [Cleaved into: Actin, alpha skeletal muscle, intermediate form]	actin
Actin, alpha skeletal muscle 2	actin
Actin, alpha skeletal muscle 2 Actin alpha 2	actin
Actin, alpha skeletal muscle 2-like	actin
Actin, alpha skeletal muscle A Alpha-actin-1 A	actin
Actin, alpha skeletal muscle B	actin
Actin, alpha skeletal muscle B Alpha-actin-1 B	actin
Actin, alpha skeletal muscle B-like isoform X1	actin
Actin, alpha skeletal muscle-like protein	actin
Actin, alpha smooth muscle	actin
Actin, aortic smooth muscle	actin
Actin, aortic smooth muscle (Actin, aortic smooth muscle-like isoform 1)	actin
Actin, aortic smooth muscle (EC 3.6.4.-) (Alpha-actin-2) (Cell growth-inhibiting gene 46 protein) [Cleaved into: Actin, aortic smooth muscle, intermediate form]	actin
Actin, aortic smooth muscle (EC 3.6.4.-) (Alpha-actin-2) [Cleaved into: Actin, aortic smooth muscle, intermediate form]	actin
Actin, aortic smooth muscle (inferred by orthology to a human protein)	actin
Actin, aortic smooth muscle-like	actin
Actin, aortic smooth muscle-like isoform 1	actin
Actin, Apc3 and/or TPR 12 domain containing protein	actin
Actin, beta	actin
Actin, clone	actin
Actin, clone 211	actin
Actin, clone 403	actin
Actin, cytoplasmic	actin
Actin, cytoplasmic (EC 3.6.4.-) [Cleaved into: Actin, cytoplasmic, intermediate form]	actin
Actin, cytoplasmic 1	actin
Actin, cytoplasmic 1 (Beta-actin) (EC 3.6.4.-) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]	actin
Actin, cytoplasmic 1 (EC 3.6.4.-) (Beta-actin-1) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]	actin
Actin, cytoplasmic 1 (EC 3.6.4.-) (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]	actin
Actin, cytoplasmic 1 (HCG15971, isoform CRA_b)	actin
Actin, cytoplasmic 1-like isoform 4	actin
Actin, cytoplasmic 1-like protein	actin
Actin, cytoplasmic 2	actin
Actin, cytoplasmic 2 (EC 3.6.4.-) (Beta-actin-2) [Cleaved into: Actin, cytoplasmic 2, N-terminally processed]	actin
Actin, cytoplasmic 2 (EC 3.6.4.-) (Gamma-actin) [Cleaved into: Actin, cytoplasmic 2, N-terminally processed]	actin
Actin, cytoplasmic 2-like	actin
Actin, cytoplasmic 2-like isoform 1	actin
Actin, cytoplasmic 2-like protein	actin
Actin, cytoplasmic 3	actin
Actin, cytoplasmic 3 Beta-actin C Actin, cytoplasmic 3, N-terminally processed	actin
Actin, cytoplasmic A3 (EC 3.6.4.-) [Cleaved into: Actin, cytoplasmic A3, intermediate form]	actin
Actin, cytoplasmic A3a	actin
Actin, cytoplasmic type 5	actin
Actin, cytoplasmic type 8	actin
Actin, cytoplasmic-like	actin
Actin, cytoskeletal	actin
Actin, cytoskeletal 1A	actin
Actin, cytoskeletal 1B (EC 3.6.4.-) (Actin, cytoskeletal IB)	actin
Actin, cytoskeletal 2A (EC 3.6.4.-) (Actin, cytoskeletal IIA) [Cleaved into: Actin, cytoskeletal 2A, intermediate form]	actin
Actin, cytoskeletal 3	actin
Actin, gamma	actin
Actin, gamma (Actin-1)	actin
Actin, gamma (EC 3.6.4.-)	actin
Actin, gamma 1	actin
Actin, gamma-enteric smooth muscle	actin
Actin, gamma-enteric smooth muscle (EC 3.6.4.-) (Alpha-actin-3) (Gamma-2-actin) (Smooth muscle gamma-actin) [Cleaved into: Actin, gamma-enteric smooth muscle, intermediate form]	actin
Actin, gamma-enteric smooth muscle-like isoform 1	actin
Actin, indirect flight muscle	actin
Actin, indirect flight muscle (EC 3.6.4.-) (Actin-88F)	actin
Actin, larval muscle (EC 3.6.4.-) (Actin-79B)	actin
Actin, muscle	actin
Actin, muscle 1A	actin
Actin, muscle 2/4/4A	actin
Actin, muscle-like	actin
Actin, muscle-type	actin
Actin, muscle-type A2	actin
Actin, nonmuscle	actin
Actin, other eukaryote	actin
Actin, plasmodial isoform	actin
Actin, putative	actin
Actin, variant 3	actin
Actin,Actin, muscle,Actin, cytoskeletal 4,Actin, alpha skeletal muscle,Actin-like protein 6A,Actin, cytoskeletal 3,Actin-like protein 6B	actin
Actin: muscle 2/4/4A-like protein	actin
Actin1	actin
Actin1 protein	actin
Actin2	actin
Actin2.1	actin
Actin3	actin
Actin4	actin
Actin7	actin
Actin7a	actin
ActinA	actin
ActinB	actin
Actine	actin
Actine beta	actin
ActinII	actin
Actinii	actin
ACTS protein	actin
ACTSB protein	actin
ACTT3 protein	actin
ACTY protein	actin
ACTZ protein	actin
Adult-type muscle actin 2	actin
Alpha 2 actin	actin
Alpha actin	actin
Alpha actin 2	actin
Alpha actin-1	actin
Alpha actin-2	actin
Alpha actin-3	actin
Alpha actin-4	actin
Alpha skeletal actin	actin
Alpha skeletal muscle b-like isoform 2	actin
Alpha-actin	actin
Alpha-actin (AA 27-375)	actin
Alpha-actin (Aa 40-375)	actin
Alpha-actin protein	actin
Alpha-cardiac actin	actin
Alpha-muscle actin	actin
B-actin	actin
B-actin (Cytoplasmic actin)	actin
Bactin1 protein	actin
Beita-actin	actin
Beta	actin
Beta actin	actin
Beta actin isoform 1	actin
Beta actin isoform 2a	actin
Beta actin isoform 2b	actin
Beta actin isolate 1	actin
Beta actin isolate 2	actin
Beta actin variant	actin
Beta actin-1	actin
Beta actin-2	actin
Beta actin-3	actin
Beta cytoplasmic actin	actin
Beta-actin	actin
Beta-Actin	actin
Beta-actin 1	actin
Beta-actin 2	actin
Beta-actin FE-3	actin
Beta-actin protein	actin
Beta-actin protein 2	actin
Blast:Actin, cytoplasmic 1	actin
Cardiac actin	actin
Cardiac alpha actin	actin
Cardiac alpha actin 2	actin
Cardiac muscle actin	actin
Cardiac muscle alpha actin	actin
Cardiac-type actin 1	actin
Cytoplasmatic actin	actin
Cytoplasmic 1	actin
Cytoplasmic 2 actin	actin
Cytoplasmic A3a	actin
Cytoplasmic actin	actin
Cytoplasmic actin 1	actin
Cytoplasmic actin 2	actin
Cytoplasmic actin A3a2	actin
Cytoplasmic actin Cp-Ac445	actin
Cytoplasmic actin LvC2	actin
Cytoplasmic actin LvC4	actin
Cytoplasmic actin type 4	actin
Cytoplasmic actin type II	actin
Cytoplasmic actin type III	actin
Cytoplasmic beta actin	actin
Cytoplasmic beta-actin	actin
Cytoplasmic type actin	actin
Cytoplasmic type actin 1	actin
Cytoplasmic type actin 2	actin
Cytoplasmic type actin 3	actin
Cytoplasmic-type actin 2	actin
Cytoplasmic-type actin 3	actin
Cytoskeletal actin	actin
Cytoskeletal actin 1	actin
Cytoskeletal actin 2	actin
Cytoskeletal beta actin	actin
Cytoskeletal beta-actin	actin
Cytosolic actin	actin
Fast muscle actin	actin
Fast-type skeletal muscle actin 1	actin
Fast-type skeletal muscle actin 12	actin
Fast-type skeletal muscle actin 15 (Fast-type skeletal muscle actin 4)	actin
Fast-type skeletal muscle actin 2	actin
Fast-type skeletal muscle actin 3	actin
Fast-type skeletal muscle actin 5	actin
Fast-type skeletal muscle actin 6	actin
Gamma	actin
Gamma actin	actin
Gamma actin cytoplasmic 1	actin
Gamma-actin	actin
General actin	actin
Group 1 actin	actin
Group 2 actin	actin
Group 3 actin	actin
Group A actin	actin
Group B actin	actin
Host actin	actin
Host actin-1	actin
Host actin-2	actin
Kappa-actin	actin
Macronuclear actin I	actin
Major actin	actin
Major actin (EC 3.6.4.-) (Actin A1) (Actin A12) (Actin A8) (Actin III) (Actin M6) (Actin-1) (Actin-11) (Actin-12) (Actin-13) (Actin-14) (Actin-15) (Actin-16) (Actin-19) (Actin-2) (Actin-2-sub 1) (Actin-20) (Actin-21) (Actin-3a) (Actin-4) (Actin-5) (Actin-6) (Actin-7) (Actin-8) (Actin-9) (Actin-IEL1)	actin
Muscle actin	actin
Muscle-like isoform 1 protein	actin
Muscle-specific actin	actin
Muscle-specific actin 2	actin
Muscle-specific actin 3	actin
Muscle-specific actin-like	actin
Non-muscle actin	actin
Non-muscle actin 6.2	actin
Non-muscle actin II	actin
Proact1 protein	actin
Probable Actin	actin
Probable actin	actin
Putative actin	actin
Putative Actin	actin
Putative actin (inferred by orthology to a S. mansoni protein)	actin
Putative actin 1	actin
Putative actin 2	actin
Putative actin 3	actin
Putative actin 4	actin
Putative actin 7	actin
Putative Actin A	actin
Putative actin beta/gamma 1	actin
Putative Actin CyI	actin
Putative actin ii	actin
Putative actin II (Centractin-like protein)	actin
Putative actin protein	actin
Putative actin superfamily	actin
Putative Actin type 5	actin
Putative Actin-1	actin
Putative actin-2 protein	actin
Putative actin-22	actin
Putative actin-25	actin
Putative actin-4	actin
Putative actin-5	actin
Putative actin-6	actin
Putative actin, alpha skeletal muscle	actin
Putative actin, cytoplasmic-like	actin
Putative beta-actin	actin
Putative Beta-actin protein 2	actin
Putative beta-actin-like protein	actin
Putative beta-actin-like protein 3 (Kappa-actin) (POTE ankyrin domain family member K)	actin
Putative cardiac actin	actin
Putative cytoplasmic actin	actin
Putative muscle beta actin	actin
Similar to b-actin	actin
Similar to beta actin	actin
Similar to Drosophila melanogaster Act57B	actin
Skeletal alpha-actin	actin
Skeletal alpha-actin 1.2	actin
Skeletal alpha-actin type-2b	actin
Skeletal muscle actin	actin
Skeletal muscle actin 1	actin
Skeletal muscle actin 2	actin
Skeletal muscle actin 4	actin
Skeletal muscle actin 5	actin
Skeletal muscle actin 6	actin
Skeletal muscle actin 7	actin
Skeletal muscle actin 8	actin
Skeletal muscle actin mutant	actin
Skeletal muscle alpha actin	actin
Skeletal muscle alpha actin 1	actin
Skeletal muscle alpha actin 2	actin
Skeletal muscle alpha-actin	actin
Skeletal muscle alpha-actin mRNA	actin
Slow-type skeletal muscle actin 1	actin
Slow-type skeletal muscle actin 10	actin
Slow-type skeletal muscle actin 2	actin
Slow-type skeletal muscle actin 3	actin
Slow-type skeletal muscle actin 4	actin
Smooth muscle actin	actin
Smooth muscle alpha actin	actin
Smooth muscle aortic actin alpha 2	actin
Smooth muscle enteric actin gamma 2	actin
Smooth muscle gamma-actin	actin
Specific actin 2	actin
SyAct-A1 protein	actin
Symbiont actin	actin
Truncated actin	actin
Truncated actin-4	actin
Truncated beta-actin	actin
Type 1 actin	actin
Type 2 actin	actin
Type 4 actin	actin
Type I actin	actin
Actin family	actin family
Actin family (BY PROTMAP: gi|472582179|gb|EMS19875.1| actin binding protein [Rhodosporidium toruloides NP11] gi|647399718|emb|CDR44667.1| RHTO0S09e07514g1_1 [Rhodosporidium toruloides])	actin family
Actin family protein	actin family
Actin family protein (Actin-like_protein_putative/GeneDB:LmjF.13.0950)	actin family
Actin family protein (Actin-like_protein_putative/GeneDB:LmjF.15.1330)	actin family
Actin family protein (Actin-related protein 6)	actin family
Actin family protein 7	actin family
Actin family protein 8	actin family
Actin family,Actin, conserved site	actin family
Actin family,Actin/actin-like conserved site	actin family
Actin subfamily protein	actin family
Actin superfamily	actin family
Actin-101 family	actin family
Actin-domain-containing protein	actin family
Actin/actin family protein	actin family
Actin/actin-like	actin family
F-box domain, Actin family	actin family
Putative actin family	actin family
Putative Actin family	actin family
Putative Actin family protein	actin family
Putative actin family protein	actin family
Putative actin family protein isoform	actin family
Putative Actin family, folylpolyglutamate synthetase	actin family
Putative F-box domain, Actin family	actin family
ACL10 protein	actin like
ACL6A protein	actin like
ACL6B protein	actin like
ACL7B protein	actin like
Actin domain containing protein	actin like
Actin domain-containing protein	actin like
Actin like	actin like
Actin like 1	actin like
Actin like 10	actin like
Actin like 6A	actin like
Actin like 6B	actin like
Actin like 8	actin like
Actin like 9	actin like
Actin like protein	actin like
Actin like protein 8	actin like
Actin like protein alp1	actin like
Actin like protein ALP1	actin like
Actin structural protein	actin like
Actin-1-like protein	actin like
Actin-100-like protein	actin like
Actin-101-like	actin like
Actin-101-like protein	actin like
Actin-2-like protein	actin like
Actin-3-like protein	actin like
Actin-4-like protein	actin like
Actin-42A-like Protein	actin like
Actin-7 like	actin like
Actin-7-like	actin like
Actin-7-like isoform X1	actin like
Actin-7-like protein	actin like
Actin-85C-like	actin like
Actin-97 like	actin like
Actin-97-like protein	actin like
Actin-like	actin like
Actin-like 11 (Actin-like protein 7B)	actin like
Actin-like 6A	actin like
Actin-like 6a	actin like
Actin-like 6A (Actl6a protein)	actin like
Actin-like 6A isoform 1 variant	actin like
Actin-like 6A isoform 2	actin like
Actin-like 6A, isoform CRA_b	actin like
Actin-like 6B	actin like
Actin-like 6B isoform X1	actin like
Actin-like 6B, isoform CRA_b	actin like
Actin-like 7A	actin like
Actin-like 9	actin like
Actin-like ATPase	actin like
Actin-like ATPase domain-containing protein	actin like
Actin-like ATPase superfamily protein	actin like
Actin-like ATPase superfamily protein isoform 1	actin like
Actin-like ATPase superfamily protein isoform 4	actin like
Actin-like protein	actin like
Actin-like protein (Actin-like protein 3)	actin like
Actin-like protein (Centractin)	actin like
Actin-like protein (inferred by orthology to a C. elegans protein)	actin like
Actin-like protein 1	actin like
Actin-like protein 1 (Actin-like protein 3)	actin like
Actin-like protein 10	actin like
Actin-like protein 2	actin like
Actin-like protein 3	actin like
Actin-like protein 4	actin like
Actin-like protein 4 (Actin-related protein 1)	actin like
Actin-like protein 5	actin like
Actin-like protein 53D	actin like
Actin-like protein 53D (inferred by orthology to a D. melanogaster protein)	actin like
Actin-like protein 6	actin like
Actin-like protein 6A	actin like
Actin-like protein 6A (53 kDa BRG1-associated factor A) (Actin-related protein Baf53a) (BRG1-associated factor 53A) (BAF53A)	actin like
Actin-like protein 6A (Actin-like protein 7)	actin like
Actin-like protein 6A isoform 1	actin like
Actin-like protein 6a protein	actin like
Actin-like protein 6A-like	actin like
Actin-like protein 6A-like protein	actin like
Actin-like protein 6B	actin like
Actin-like protein 6B (53 kDa BRG1-associated factor B) (Actin-related protein Baf53b) (ArpNalpha) (BRG1-associated factor 53B) (BAF53B)	actin like
Actin-like protein 6B-like protein	actin like
Actin-like protein 7A	actin like
Actin-like protein 7a	actin like
Actin-like protein 7A (Actin-like-7-alpha) (Testis-specific actin-2) (T-actin-2)	actin like
Actin-like protein 7B	actin like
Actin-like protein 7B (Actin-like-7-beta) (Testis-specific actin-1) (T-actin-1)	actin like
Actin-like protein 7C	actin like
Actin-like protein 8	actin like
Actin-like protein 8 (Cancer/testis antigen 57) (CT57)	actin like
Actin-like protein 87C	actin like
Actin-like protein 87c-like protein	actin like
Actin-like protein 9	actin like
Actin-like protein 9-like	actin like
Actin-like protein arp-6	actin like
Actin-like protein arp-6 (Hypothetical protein)	actin like
Actin-like protein Arp3	actin like
Actin-like protein Arp4p	actin like
Actin-like protein arp6	actin like
Actin-like protein ARP6	actin like
Actin-like protein Arp6	actin like
Actin-like protein arp6 (Actin-like protein arp6, variant)	actin like
Actin-like protein arp6 (Actin-protein 6)	actin like
Actin-like protein C08B11.6	actin like
Actin-like protein isoform 3	actin like
Actin-like protein_1	actin like
Actin-like protein_2	actin like
Actin-like protein-like protein	actin like
Actin-like protein-like protein 6A	actin like
Actin-like protein, putative	actin like
Actin-like_protein	actin like
Actin/actin-like conserved site-containing protein	actin like
Actin/actin-like protein	actin like
Actinlike protein ARP6 putative	actin like
Actinlike protein putative	actin like
ACTL6 protein	actin like
ACTL6A	actin like
ACTL6B	actin like
ACTL9 isoform 1 (ACTL9 isoform 2)	actin like
ACTL9 protein	actin like
Af195094_1gamma actin-like protein	actin like
AGAP001676-PA-like protein	actin like
AGAP002127-PA-like protein	actin like
AGAP005110-PA-like protein	actin like
AGAP005857-PA-like protein	actin like
AGAP008687-PA-like protein	actin like
Alpha actin-like protein	actin like
Beta actin-like 1 protein	actin like
Beta actin-like protein	actin like
Beta-actin-like	actin like
Beta-actin-like protein	actin like
Beta-actin-like protein 2	actin like
Beta-actin-like protein 2 (Kappa-actin)	actin like
Beta-actin-like protein 2-like	actin like
Beta-like 2 actin	actin like
Blast:Actin	actin like
Blast:Actin-like protein 53D	actin like
cDNA FLJ25424 fis, clone TST04169	actin like
cDNA FLJ32030 fis, clone NTONG2000040, highly similar to Actin, alpha cardiac	actin like
cDNA FLJ39583 fis, clone SKMUS2004897, highly similar to ACTIN, ALPHA SKELETAL MUSCLE	actin like
cDNA FLJ42347 fis, clone UTERU2003399, highly similar to Actin, gamma-enteric smooth muscle	actin like
cDNA FLJ51655, highly similar to Actin-like protein 2	actin like
cDNA FLJ51656, highly similar to Actin-like protein 2	actin like
cDNA FLJ52755, highly similar to Actin, aortic smooth muscle	actin like
cDNA FLJ52842, highly similar to Actin, cytoplasmic 1	actin like
cDNA FLJ53662, highly similar to Actin, alpha skeletal muscle	actin like
cDNA FLJ55253, highly similar to Actin, cytoplasmic 1	actin like
cDNA FLJ57283, highly similar to Actin, cytoplasmic 2	actin like
cDNA FLJ58286, highly similar to Actin, cytoplasmic 2	actin like
cDNA FLJ78096, highly similar to Homo sapiens actin, alpha, cardiac muscle (ACTC), mRNA	actin like
cDNA, FLJ79260, highly similar to Actin, cytoplasmic 2	actin like
Cytoplasmic beta-actin isoform 8-like protein	actin like
Gamma actin-like protein	actin like
Novel protein similar to vertebrate skeletal alpha-actin 1 (ACTA1, zgc:86725)	actin like
PREDICTED: similar to Actin putative	actin like
Probable actin-like protein ACT2	actin like
Putative actin-7-like protein	actin like
Putative actin-97 protein	actin like
Putative actin-like protein	actin like
Putative Actin-like protein	actin like
Putative actin-like protein 2	actin like
Putative actin-like protein 2 (EC 3.6.1.3)	actin like
Putative actin-like protein 2 protein	actin like
Putative actin-like protein 3	actin like
Putative Actin-like protein 3	actin like
Putative actin-like protein 3 protein	actin like
Putative actin-like protein 6	actin like
Putative actin-like protein 6A	actin like
Putative actin-like protein 6B	actin like
Putative actin-like protein arp-6	actin like
Putative actin-like protein arp-6 protein	actin like
Putative actin-like protein arp6	actin like
Putative Actin/actin family protein	actin like
Putative actin2-like protein	actin like
Red alga-like actin	actin like
Related to ACT1 - actin	actin like
Related to ACT1 - actin (Related to ACT1-actin)	actin like
Related to ACT1-actin	actin like
Related to act1-actin	actin like
Related to Actin-2	actin like
Related to actin-like protein	actin like
Related to Actin-like protein 6A	actin like
Similar to S.cerevisiae protein ACT1 (Actin)	actin like
Type 2 actin-like protein	actin like
Actin related 2	actin related
